Country,Attack,Defence,World_Rank,P,W,D,L,GF,GA,GD,Pts
Japan,1.2,1.15,27,0,0,0,0,0,0,0,0
South Korea,1.15,1.1,38,0,0,0,0,0,0,0,0
China,0.8,0.8,75,0,0,0,0,0,0,0,0
India,0.6,0.6,104,0,0,0,0,0,0,0,0
Qatar,0.95,0.9,58,0,0,0,0,0,0,0,0
UAE,0.85,0.77,74,0,0,0,0,0,0,0,0
Australia,0.95,1,41,0,0,0,0,0,0,0,0
Saudi Arabia,0.88,0.95,67,0,0,0,0,0,0,0,0
France,1.9,1.85,2,0,0,0,0,0,0,0,0
England,1.55,1.7,4,0,0,0,0,0,0,0,0
Spain,1.85,1.7,6,0,0,0,0,0,0,0,0
Italy,1.45,1.65,10,0,0,0,0,0,0,0,0
Germany,1.7,1.6,13,0,0,0,0,0,0,0,0
Russia,1,1.15,39,0,0,0,0,0,0,0,0
Brazil,1.8,1.7,3,0,0,0,0,0,0,0,0
Argentina,1.8,1.6,7,0,0,0,0,0,0,0,0
